|            JD |          Tempo |              BC |            432s |             430 |             423 |            405 |
| 2451623.34948 | -9089.60215637 |  -9089.60176664 |  -9089.60208743 |  -9089.60208227 |   -9089.6020646 | -9089.60209283 |
| 2451624.27012 | -8500.65742032 |  -8500.65724944 |  -8500.65738493 |  -8500.65737974 |  -8500.65736214 | -8500.65738969 |
| 2451625.19076 | -7911.44464584 |  -7911.44436104 |  -7911.44464752 |  -7911.44464226 |  -7911.44462478 | -7911.44465161 |
|  2451626.1114 | -7362.85789554 |  -7362.85791353 |  -7362.85792634 |  -7362.85792105 |  -7362.85790364 |  -7362.8579298 |
| 2451627.03204 |  -6886.1115062 |  -6886.11157216 |  -6886.11154732 |  -6886.11154199 |  -6886.11152472 | -6886.11155015 |
| 2451627.95268 | -6495.60926728 |   -6495.6093722 |  -6495.60929938 |  -6495.60929399 |  -6495.60927681 | -6495.60930151 |
| 2451628.87332 | -6185.65769728 |  -6185.65755638 |  -6185.65769437 |  -6185.65768895 |  -6185.65767191 | -6185.65769584 |
| 2451629.79396 | -5931.77572612 |  -5931.77557322 |  -5931.77569464 |  -5931.77568918 |  -5931.77567228 | -5931.77569537 |
|  2451630.7146 | -5696.30208812 |  -5696.30171038 |  -5696.30206214 |  -5696.30205668 |  -5696.30203991 | -5696.30206214 |
| 2451631.63524 | -5437.01870228 |  -5437.01817764 |  -5437.01867415 |  -5437.01866862 |  -5437.01865198 | -5437.01867332 |
| 2451632.55588 | -5116.81879606 |  -5116.81812153 |  -5116.81874496 |  -5116.81873941 |  -5116.81872293 |  -5116.8187433 |
| 2451633.47652 | -4712.20951723 |  -4712.20891165 |  -4712.20944876 |   -4712.2094432 |  -4712.20942686 | -4712.20944623 |
| 2451634.39716 | -4218.70549096 |  -4218.70491236 |  -4218.70542621 |  -4218.70542062 |  -4218.70540444 | -4218.70542275 |
| 2451635.31781 | -3651.88060267 |  -3651.88018595 |  -3651.88055611 |  -3651.88055052 |  -3651.88053448 | -3651.88055165 |
| 2451636.23845 | -3043.83793884 |  -3043.83766903 |  -3043.83792407 |  -3043.83791845 |   -3043.8379026 | -3043.83791858 |
| 2451637.15909 | -2435.90525388 |  -2435.90526587 |  -2435.90527828 |  -2435.90527266 |  -2435.90525698 | -2435.90527176 |
| 2451638.07973 | -1869.22574394 |   -1869.2258039 |  -1869.22579882 |  -1869.22579316 |  -1869.22577768 | -1869.22579116 |
| 2451639.00037 | -1375.39449121 |  -1375.39474003 |  -1375.39455846 |   -1375.3945528 |  -1375.39453749 | -1375.39454967 |
| 2451639.92101 |  -969.27996944 |  -969.280206276 |  -969.280021985 |  -969.280016327 |  -969.280001216 | -969.280012066 |
| 2451640.84165 | -645.670070911 |  -645.669921015 |  -645.670091246 |  -645.670085588 |  -645.670070643 | -645.670080129 |
| 2451641.76229 | -380.508156685 |   -380.50787488 |  -380.508148095 |  -380.508142437 |  -380.508127692 | -380.508135813 |
| 2451642.68293 | -136.435796464 |  -136.435322791 |  -136.435797313 |  -136.435791621 |   -136.43577711 | -136.435783933 |
| 2451643.60357 |  128.624943804 |   128.625459447 |   128.624947969 |   128.624953694 |   128.624968006 |  128.624962481 |
| 2451644.52421 |  451.811826181 |   451.812395787 |   451.811855646 |   451.811861238 |   451.811875483 |   451.81187109 |
| 2451645.44485 |  856.794241689 |   856.794724355 |   856.794282253 |   856.794287911 |   856.794301824 |  856.794298695 |
| 2451646.36549 |  1348.32733641 |   1348.32794499 |   1348.32738375 |   1348.32738947 |   1348.32740319 |  1348.32740119 |
| 2451647.28614 |  1911.13498178 |   1911.13522761 |   1911.13499432 |   1911.13500004 |   1911.13501362 |  1911.13501256 |
| 2451648.20678 |  2513.37762388 |   2513.37785772 |   2513.37760483 |   2513.37761056 |   2513.37762387 |  2513.37762387 |
| 2451649.12742 |  3113.91285199 |   3113.91279503 |   3113.91279958 |   3113.91280517 |   3113.91281835 |  3113.91281928 |
| 2451650.04806 |  3671.68782141 |   3671.68791735 |   3671.68774138 |    3671.6877471 |   3671.68776001 |  3671.68776175 |
|  2451650.9687 |  4155.11543944 |   4155.11537648 |   4155.11534956 |   4155.11535529 |     4155.115368 |   4155.1153706 |
| 2451651.88934 |  4549.28949742 |   4549.28921861 |   4549.28942291 |   4549.28942864 |   4549.28944115 |  4549.28944461 |
| 2451652.80998 |  4859.38815758 |    4859.3881336 |   4859.38811828 |     4859.388124 |   4859.38813625 |  4859.38814045 |
| 2451653.73062 |  5109.48680189 |   5109.48708969 |   5109.48679101 |   5109.48679674 |   5109.48680885 |  5109.48681378 |
| 2451654.65126 |  5337.05092253 |    5337.0512523 |   5337.05090256 |   5337.05090829 |   5337.05092014 |    5337.050926 |
|  2451655.5719 |  5584.36728597 |   5584.36788856 |    5584.3672722 |   5584.36727793 |   5584.36728951 |  5584.36729617 |
| 2451656.49254 |  5888.87162701 |   5888.87218162 |   5888.87163936 |   5888.87164509 |    5888.8716564 |  5888.87166386 |
| 2451657.41318 |  6274.58335633 |   6274.58395891 |   6274.58337595 |   6274.58338167 |   6274.58339279 |  6274.58340118 |
| 2451658.33382 |  6746.60480668 |   6746.60509748 |   6746.60483025 |   6746.60483598 |   6746.60484683 |  6746.60485615 |
| 2451659.25447 |  7289.94244286 |   7289.94279662 |   7289.94242434 |   7289.94243007 |   7289.94244065 |  7289.94245097 |
| 2451660.17511 |  7872.91905455 |   7872.91902757 |   7872.91900129 |   7872.91900701 |   7872.91901726 |  7872.91902858 |
| 2451661.09575 |  8454.39745343 |   8454.39746243 |   8454.39737023 |   8454.39737595 |   8454.39738607 |  8454.39739845 |
| 2451662.01639 |  8993.16383923 |   8993.16382124 |   8993.16373208 |    8993.1637378 |   8993.16374765 |   8993.1637611 |
| 2451662.93703 |  9457.32583456 |   9457.32557674 |   9457.32572214 |    9457.3257278 |   9457.32573738 |  9457.32575203 |
| 2451663.85767 |  9831.57636931 |   9831.57613847 |   9831.57627266 |   9831.57627838 |   9831.57628757 |  9831.57630354 |
| 2451664.77831 |  10120.6622853 |   10120.6621924 |   10120.6622241 |   10120.6622297 |   10120.6622387 |  10120.6622558 |
| 2451665.69895 |  10348.2643627 |   10348.2645425 |   10348.2643282 |   10348.2643338 |   10348.2643425 |  10348.2643609 |
| 2451666.61959 |  10551.5448685 |   10551.5452432 |   10551.5448261 |   10551.5448317 |   10551.5448402 |  10551.5448599 |
| 2451667.54023 |  10772.6101392 |   10772.6106009 |   10772.6101065 |   10772.6101119 |   10772.6101201 |  10772.6101412 |
| 2451668.46087 |  11048.8419079 |   11048.8425225 |   11048.8418957 |   11048.8419012 |   11048.8419091 |  11048.8419315 |
| 2451669.38151 |  11404.3100644 |   11404.3104602 |   11404.3100642 |   11404.3100696 |   11404.3100772 |  11404.3101011 |
| 2451670.30215 |   11844.231777 |   11844.2322386 |   11844.2317603 |   11844.2317656 |    11844.231773 |   11844.231798 |
|  2451671.2228 |  12353.7437132 |   12353.7441059 |   12353.7436935 |   12353.7436988 |   12353.7437059 |  12353.7437321 |
| 2451672.14344 |  12901.2673365 |   12901.2676453 |   12901.2672508 |   12901.2672562 |   12901.2672629 |  12901.2672904 |
| 2451673.06408 |  13445.6963881 |   13445.6964061 |   13445.6962721 |   13445.6962774 |   13445.6962839 |  13445.6963125 |
| 2451673.98472 |  13945.7650238 |   13945.7651347 |   13945.7648915 |   13945.7648969 |    13945.764903 |  13945.7649325 |
| 2451674.90536 |  14369.4559936 |   14369.4557898 |    14369.455858 |   14369.4558633 |   14369.4558692 |  14369.4558998 |
|   2451675.826 |  14701.3008132 |   14701.3008342 |   14701.3006977 |   14701.3007029 |   14701.3007086 |    14701.30074 |
| 2451676.74664 |   14945.904004 |   14945.9038661 |   14945.9039188 |    14945.903924 |   14945.9039293 |  14945.9039616 |
| 2451677.66728 |  15126.8852003 |   15126.8855331 |   15126.8851422 |   15126.8851474 |   15126.8851524 |  15126.8851855 |
| 2451678.58792 |  15281.4794889 |   15281.4797077 |   15281.4794265 |   15281.4794317 |   15281.4794364 |  15281.4794702 |
| 2451679.50856 |  15452.0282225 |   15452.0285672 |   15452.0281727 |   15452.0281778 |   15452.0281823 |  15452.0282167 |
|  2451680.4292 |  15676.3037487 |   15676.3041595 |   15676.3037206 |   15676.3037256 |   15676.3037299 |   15676.303765 |
| 2451681.34984 |  15978.8783107 |   15978.8789463 |   15978.8782888 |   15978.8782939 |   15978.8782979 |  15978.8783337 |
| 2451682.27048 |  16365.5092817 |   16365.5095845 |   16365.5092466 |   16365.5092517 |   16365.5092552 |  16365.5092917 |
| 2451683.19113 |  16821.8237118 |   16821.8238017 |    16821.823644 |   16821.8236489 |   16821.8236522 |  16821.8236894 |
| 2451684.11177 |  17316.6025995 |   17316.6025635 |   17316.6025154 |   17316.6025203 |   17316.6025234 |  17316.6025613 |
| 2451685.03241 |  17808.9141923 |   17808.9140004 |   17808.9140548 |   17808.9140597 |   17808.9140624 |  17808.9141012 |
| 2451685.95305 |  18257.4651669 |   18257.4652298 |   18257.4650136 |   18257.4650185 |   18257.4650209 |  18257.4650604 |
| 2451686.87369 |  18630.0327237 |   18630.0325019 |   18630.0325733 |   18630.0325781 |   18630.0325802 |  18630.0326206 |
| 2451687.79433 |  18910.8207112 |   18910.8204894 |   18910.8205816 |   18910.8205863 |   18910.8205882 |  18910.8206294 |
| 2451688.71497 |  19104.0585475 |   19104.0583346 |   19104.0584499 |   19104.0584546 |   19104.0584561 |  19104.0584984 |
| 2451689.63561 |  19233.0199603 |   19233.0201252 |   19233.0198858 |   19233.0198905 |   19233.0198917 |  19233.0199348 |
| 2451690.55625 |  19334.6856207 |   19334.6860764 |   19334.6855431 |   19334.6855477 |   19334.6855485 |  19334.6855928 |
| 2451691.47689 |  19451.2693584 |   19451.2696852 |   19451.2692943 |   19451.2692988 |   19451.2692995 |  19451.2693447 |
| 2451692.39753 |  19620.5445227 |   19620.5450953 |   19620.5444788 |   19620.5444833 |   19620.5444836 |  19620.5445299 |
| 2451693.31817 |  19867.1812746 |   19867.1817273 |     19867.18124 |   19867.1812444 |   19867.1812443 |  19867.1812918 |
| 2451694.23881 |   20197.074901 |   20197.0754796 |   20197.0748552 |   20197.0748596 |   20197.0748592 |  20197.0749077 |
| 2451695.15945 |  20595.9621701 |   20595.9626647 |   20595.9620964 |   20595.9621007 |   20595.9620999 |  20595.9621497 |
|  2451696.0801 |  21032.6438277 |   21032.6440465 |   21032.6437258 |   21032.6437301 |   21032.6437291 |  21032.6437798 |
| 2451697.00074 |  21466.0795364 |   21466.0797132 |   21466.0793919 |   21466.0793961 |   21466.0793947 |  21466.0794467 |
| 2451697.92138 |  21854.7364418 |     21854.73619 |   21854.7362768 |   21854.7362809 |   21854.7362793 |  21854.7363323 |
| 2451698.84202 |  22166.0564235 |   22166.0564864 |   22166.0562589 |    22166.056263 |    22166.056261 |  22166.0563151 |
| 2451699.76266 |  22383.8769384 |   22383.8769175 |   22383.8767932 |   22383.8767972 |   22383.8767949 |  22383.8768498 |
|  2451700.6833 |  22512.1067318 |   22512.1066179 |   22512.1066175 |   22512.1066213 |   22512.1066188 |  22512.1066746 |
| 2451701.60394 |  22573.8142726 |   22573.8143625 |   22573.8141761 |   22573.8141799 |   22573.8141771 |  22573.8142336 |
| 2451702.52458 |  22605.9379398 |   22605.9380208 |    22605.937848 |   22605.9378518 |   22605.9378486 |  22605.9379058 |
| 2451703.44522 |  22650.8300826 |   22650.8301486 |   22650.8300081 |   22650.8300118 |   22650.8300083 |  22650.8300661 |
| 2451704.36586 |  22746.5704679 |   22746.5708847 |   22746.5704124 |   22746.5704161 |   22746.5704122 |  22746.5704705 |
|  2451705.2865 |  22918.2641839 |   22918.2647864 |   22918.2641345 |   22918.2641381 |   22918.2641341 |  22918.2641928 |
| 2451706.20714 |  23172.3117184 |   23172.3124709 |   23172.3116572 |   23172.3116608 |   23172.3116564 |  23172.3117156 |
| 2451707.12778 |  23494.9584407 |   23494.9585397 |   23494.9583542 |   23494.9583577 |    23494.958353 |  23494.9584126 |
| 2451708.04843 |  23855.4525339 |   23855.4524589 |   23855.4524075 |    23855.452411 |   23855.4524059 |   23855.452466 |
