JD,Tempo,BCPy
2451581.0,-23811.879190059793,-23811.879533210173
2451581.920640766,-23759.683083672327,-23759.683460806275
2451582.841281532,-23718.6012190554,-23718.601846921523
2451583.761922298,-23646.503777075875,-23646.504522808318
2451584.6825630637,-23506.922881918857,-23506.923838357216
2451585.60320383,-23277.423876774057,-23277.42473471614
2451586.523844596,-22954.76934485849,-22954.770031174492
2451587.4444853617,-22555.69904347931,-22555.699358705013
2451588.365126128,-22113.14175051795,-22113.14222543512
2451589.2857668935,-21668.728622324583,-21668.728870452367
2451590.2064076597,-21263.30856678874,-21263.308733654078
2451591.127048426,-20927.64231969614,-20927.64215550693
2451592.0476891915,-20675.392553575435,-20675.392497871213
2451592.9683299577,-20500.020941815932,-20500.021401225997
2451593.888970724,-20376.297985436337,-20376.298586668934
2451594.8096114895,-20266.08155468362,-20266.08234691707
2451595.7302522557,-20127.048578210382,-20127.04928599735
2451596.6508930214,-19922.376222933526,-19922.376961785107
2451597.5715337875,-19629.16430232229,-19629.164951436745
2451598.4921745537,-19243.669325941173,-19243.66977299285
2451599.4128153194,-18782.158305372395,-18782.15875635667
2451600.3334560855,-18277.18936709401,-18277.189867244677
2451601.254096851,-17770.1695785897,-17770.169720261325
2451602.1747376174,-17301.891954443105,-17301.89207112686
2451603.0953783835,-16903.21982541494,-16903.21993074599
2451604.016019149,-16588.041125088857,-16588.041215706802
2451604.9366599154,-16350.107800901631,-16350.108007131188
2451605.857300681,-16164.481470336234,-16164.481838412074
2451606.777941447,-15993.25420750367,-15993.25465318258
2451607.6985822134,-15794.237221096413,-15794.23784955489
2451608.619222979,-15530.632740680836,-15530.633608747681
2451609.539863745,-15179.476780893205,-15179.477554317848
2451610.4605045114,-14736.922087132456,-14736.922723344522
2451611.381145277,-14219.156234973207,-14219.156592132942
2451612.301786043,-13658.740630623008,-13658.740953752927
2451613.222426809,-13097.210391918114,-13097.210742492225
2451614.143067575,-12575.623022340322,-12575.623132751118
2451615.063708341,-12125.216620204172,-12125.21670390202
2451615.984349107,-11760.315221186109,-11760.315055930438
2451616.904989873,-11475.09545871892,-11475.095746824873
2451617.8256306387,-11244.9611663743,-11244.961620984017
2451618.746271405,-11032.198932603784,-11032.199499736027
2451619.666912171,-10794.630926512104,-10794.631632161902
2451620.5875529367,-10495.281447843894,-10495.282234671784
2451621.508193703,-10110.849109813556,-10110.849666110018
2451622.4288344686,-9637.047887574348,-9637.04862002924
2451623.3494752347,-9089.601766637614,-9089.602169708684
2451624.270116001,-8500.657249442802,-8500.657465378988
2451625.1907567666,-7911.444361037512,-7911.444726659389
2451626.1113975327,-7362.8579135324335,-7362.858003155772
2451627.0320382984,-6886.1115721567785,-6886.111623174826
2451627.9526790646,-6495.609372204409,-6495.609375532983
2451628.8733198307,-6185.657556381479,-6185.657770258079
2451629.7939605964,-5931.775573221113,-5931.7757692469795
2451630.7146013626,-5696.301710384226,-5696.302134060387
2451631.6352421287,-5437.018177638824,-5437.0187439416395
2451632.5558828944,-5116.818121525016,-5116.818813521315
2451633.4765236606,-4712.208911652395,-4712.209516004036
2451634.3971644263,-4218.704912361911,-4218.705491972826
2451635.3178051924,-3651.880185954584,-3651.8806218821533
2451636.2384459586,-3043.837669029868,-3043.8379878123424
2451637.1590867243,-2435.905265874975,-2435.9053397934663
2451638.0797274904,-1869.2258039031722,-1869.2258589387243
2451639.000368256,-1375.3947400347831,-1375.3946176632019
2451639.9210090223,-969.2802062762034,-969.2800799697359
2451640.8416497884,-645.6699210149078,-645.6701488836048
2451641.762290554,-380.50787487964374,-380.5082066121409
2451642.6829313203,-136.4353227914565,-136.43585594781104
2451643.603572086,128.6254594473443,128.6248906841076
2451644.524212852,451.81239578699996,451.81180043810673
2451645.4448536183,856.7947243549231,856.7942297271524
2451646.365494384,1348.327944987083,1348.3273332628596
2451647.28613515,1911.135227612866,1911.1349473055143
2451648.206775916,2513.377857715678,2513.3775618924506
2451649.127416682,3113.9127950296083,3113.9127585720003
2451650.048057448,3671.6879173474817,3671.687701567371
2451650.968698214,4155.115376481559,4155.11531043341
2451651.88933898,4549.289218608942,4549.289383899836
2451652.809979746,4859.388133597239,4859.388079704388
2451653.730620512,5109.487089692746,5109.486754267524
2451654.651261278,5337.051252301158,5337.050866712734
2451655.5719020437,5584.367888556609,5584.367238043936
2451656.49254281,5888.87218162107,5888.87160748253
2451657.413183576,6274.583958914039,6274.583345688754
2451658.3338243417,6746.60509747953,6746.604801031945
2451659.254465108,7289.942796617492,7289.942397071678
2451660.1751058735,7872.919027570893,7872.918975893203
2451661.0957466397,8454.397462426954,8454.397347040727
2451662.016387406,8993.163821237973,8993.16371068427
2451662.9370281715,9457.325576741141,9457.325701161857
2451663.8576689376,9831.57613846854,9831.57625099886
2451664.7783097033,10120.662192357873,10120.662201916166
2451665.6989504695,10348.264542529585,10348.264306049034
2451666.6195912356,10551.54524322886,10551.544805350375
2451667.5402320013,10772.610600866336,10772.610087367333
2451668.4608727675,11048.842522486268,11048.841876818478
2451669.3815135336,11404.31046015373,11404.310046243703
2451670.3021542993,11844.232238643794,11844.23174337817
2451671.2227950655,12353.744105917875,12353.743677829438
2451672.143435831,12901.267645258964,12901.267237444588
2451673.0640765973,13445.696406070645,13445.696261314935
2451673.9847173635,13945.765134693584,13945.764883066508
2451674.905358129,14369.455789756577,14369.455851394525
2451675.8259988953,14701.300834212709,14701.300692165212
2451676.746639661,14945.903866057402,14945.903913768465
2451677.667280427,15126.885533056478,15126.885136993764
2451678.5879211933,15281.47970773636,15281.479421361782
2451679.508561959,15452.028567217789,15452.028167402492
2451680.429202725,15676.304159456095,15676.303717870163
2451681.349843491,15978.878946289926,15978.878289560338
2451682.270484257,16365.509584468738,16365.509249392451
2451683.191125023,16821.823801709597,16821.8236493456
2451684.111765789,17316.602563500368,17316.602523469304
2451685.032406555,17808.914000384626,17808.9140641878
2451685.9530473207,18257.465229830104,18257.465023068533
2451686.873688087,18630.032501874703,18630.032582733485
2451687.794328853,18910.820489395846,18910.820591724696
2451688.7149696187,19104.05833461929,19104.058460628432
2451689.635610385,19233.020125229417,19233.019896599024
2451690.556251151,19334.686076356007,19334.68555398879
2451691.4768919167,19451.269685203053,19451.26930589512
2451692.397532683,19620.545095275163,19620.544490053682
2451693.3181734486,19867.181727287756,19867.181251410464
2451694.2388142147,20197.075479595333,20197.074867218347
2451695.159454981,20595.96266474324,20595.962108605778
2451696.0800957466,21032.644046513273,21032.64373897117
2451697.0007365127,21466.07971324507,21466.07940676847
2451697.9213772784,21854.73618996505,21854.736293118818
2451698.8420180446,22166.056486408557,22166.056275573046
2451699.7626588107,22383.876917461963,22383.876809275996
2451700.6832995764,22512.106617887574,22512.106632632782
2451701.6039403426,22573.81436250491,22573.814191203317
2451702.5245811082,22605.93802075906,22605.937864978587
2451703.4452218744,22650.83014858566,22650.8300253118
2451704.3658626406,22746.570884653276,22746.570430460717
2451705.2865034062,22918.264786438416,22918.264154860804
2451706.2071441724,23172.31247088617,23172.311679685143
2451707.127784938,23494.95853966065,23494.95837797668
2451708.0484257042,23855.45245891346,23855.452432246006
2451708.9690664704,24213.08748833452,24213.087387787044
2451709.889707236,24526.5185125516,24526.51830213384
2451710.8103480022,24763.221401551375,24763.22136122317
2451711.7309887684,24906.93456399928,24906.93442853266
2451712.651629534,24961.377725782662,24961.377733532026
2451713.5722703002,24949.40451266562,24949.40435354021
2451714.492911066,24907.77515507019,24907.77484279875
2451715.413551832,24878.751069026854,24878.75055625952
2451716.3341925982,24900.428063355947,24900.427335238855
2451717.254833364,24998.01981998869,24998.019334009245
2451718.17547413,25178.08586386047,25178.08511749655
2451719.096114896,25427.016288913186,25427.015648014374
2451720.016755662,25714.129672453786,25714.12943768831
2451720.937396428,25998.6672212077,25998.666875894465
2451721.858037194,26239.08462570191,26239.084550966425
2451722.77867796,26402.525651833977,26402.5250943566
2451723.6993187256,26472.299117668706,26472.298855583544
2451724.619959492,26451.669586196163,26451.669411521478
2451725.540600258,26363.08153542755,26363.08090665983
2451726.4612410236,26243.007287099932,26243.00704630245
2451727.38188179,26133.600628753447,26133.600437402158
2451728.302522556,26073.050035057197,26073.049460270428
2451729.2231633216,26086.844334462432,26086.843813858628
2451730.143804088,26181.94429413032,26181.943237436986
2451731.0644448535,26345.184327406845,26345.183829106405
2451731.9850856196,26546.289874933325,26546.289741403427
2451732.905726386,26744.80446314362,26744.804318333314
2451733.8263671515,26899.35634310353,26899.355957560147
2451734.7470079176,26977.138221829373,26977.137961563494
2451735.6676486833,26961.43228981985,26961.432045872156
2451736.5882894495,26855.45312866643,26855.452996792792
2451737.5089302156,26681.634384878806,26681.634070535052
2451738.4295709813,26476.516400104825,26476.515910547085
2451739.3502117475,26282.408086494102,26282.40728986378
2451740.270852513,26137.72491257117,26137.724281440253
2451741.1914932793,26068.21729969027,26068.216702601134
2451742.1121340455,26081.088451177515,26081.0875685316
2451743.032774811,26163.350761165344,26163.35011098179
2451743.9534155773,26284.798799437973,26284.798028606176
2451744.874056343,26404.910467860198,26404.90999235114
2451745.794697109,26482.110119653364,26482.109920784944
2451746.7153378753,26483.266500107835,26483.265965092225
2451747.635978641,26391.25667218625,26391.256449500117
2451748.556619407,26208.873211628663,26208.872955856517
2451749.4772601733,25958.16883965385,25958.168160683897
2451750.397900939,25675.397973850773,25675.397675779943
2451751.318541705,25402.713247558615,25402.71286668394
2451752.239182471,25178.506016994506,25178.505334947527
2451753.159823237,25028.613685296463,25028.612868043983
2451754.080464003,24960.401172836202,24960.400020219986
2451755.001104769,24961.0694611898,24961.06890533734
2451755.921745535,25000.58711368825,25000.586584262925
2451756.8423863007,25038.557933037002,25038.55765776057
2451757.763027067,25033.46822756678,25033.467855862407
2451758.683667833,24952.184650016585,24952.18419651138
2451759.6043085987,24777.54152493625,24777.541514653545
