JD,Tempo,BCPy
2451760.524949365,24512.28452553576,24512.284066382625
2451761.4455901305,24178.46346804499,24178.462764587097
2451762.3662308967,23812.42532198053,23812.424750433584
2451763.286871663,23456.53856525547,23456.53760204196
2451764.2075124285,23149.537762488708,23149.53695993077
2451765.1281531947,22917.70249570419,22917.701791665484
2451766.048793961,22768.87444222167,22768.873459800714
2451766.9694347265,22690.68658754712,22690.685792487267
2451767.8900754927,22653.41205416962,22653.411041682684
2451768.8107162584,22616.7721934174,22616.77161269729
2451769.7313570245,22539.16105848808,22539.160768194473
2451770.6519977907,22387.165373910935,22387.164755905433
2451771.5726385564,22143.210166586658,22143.20973496306
2451772.4932793225,21809.585991796826,21809.585514173566
2451773.413920088,21407.926961557343,21407.92626791459
2451774.3345608544,20974.26741581376,20974.266906370925
2451775.2552016205,20550.805766213583,20550.80502247562
2451776.175842386,20176.252420099456,20176.251747200666
2451777.0964831524,19876.97809940046,19876.97724491025
2451778.017123918,19660.976155434644,19660.97513667409
2451778.937764684,19516.027137551657,19516.026341006214
2451779.8584054504,19412.483922028165,19412.48323119586
2451780.779046216,19310.039889556087,19310.039444829894
2451781.699686982,19166.940309334048,19166.940018703506
2451782.620327748,18949.529076998268,18949.528603619383
2451783.540968514,18639.95070964234,18639.95047793038
2451784.46160928,18240.250724184378,18240.250060150673
2451785.382250046,17771.924977352424,17771.924243318856
2451786.302890812,17271.03215523754,17271.03145331651
2451787.223531578,16779.974555339995,16779.973547093567
2451788.144172344,16337.831302744456,16337.830463415099
2451789.06481311,15971.459400734431,15971.458598286486
2451789.9854538757,15689.388886088342,15689.388120908374
2451790.906094642,15479.913693746395,15479.912909004901
2451791.826735408,15313.807920380452,15313.807038366127
2451792.7473761737,15151.044835919134,15151.044290725238
2451793.66801694,14949.983474803037,14949.983041157633
2451794.5886577056,14676.916992794859,14676.9163739495
2451795.5092984717,14313.804992002182,14313.804457444532
2451796.429939238,13862.422819377885,13862.422083044556
2451797.3505800036,13343.974552644415,13343.973675638574
2451798.2712207697,12794.264758815814,12794.264081440884
2451799.1918615354,12255.529833244018,12255.5290619415
2451800.1125023016,11766.794140923308,11766.793270100412
2451801.0331430677,11354.960613341767,11354.959675732975
2451801.9537838334,11028.668315798937,11028.667411184379
2451802.8744245996,10776.323149722242,10776.322427414045
2451803.7950653653,10568.752182112947,10568.751418865191
2451804.7157061314,10365.873323224374,10365.872667318921
2451805.6363468976,10125.859874077694,10125.859340120689
2451806.5569876633,9814.701513528298,9814.701131311125
2451807.4776284294,9413.979892334039,9413.979431989474
2451808.3982691956,8925.080786142396,8925.079953293014
2451809.3189099613,8368.882329321712,8368.88140039765
2451810.2395507274,7780.993771101713,7780.99298595097
2451811.160191493,7203.631519671161,7203.630545387737
2451812.0808322593,6675.989889370854,6675.98896947767
2451813.0014730254,6225.312025163985,6225.31092701491
2451813.922113791,5860.692925713997,5860.692062949131
2451814.8427545573,5571.038438342973,5571.037488248706
2451815.763395323,5327.636668881637,5327.635885121591
2451816.684036089,5090.763359861184,5090.762753442567
2451817.6046768553,4818.804080352666,4818.803508389415
2451818.525317621,4477.8108930240605,4477.810442957762
2451819.445958387,4049.3081612924234,4049.3075856086407
2451820.366599153,3534.55832918594,3534.5575621490975
2451821.287239919,2954.314454661544,2954.313534826732
